date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
7/3/2021,5,2514,3,534,0,35,0,1920,
28/8/2020,2,1043,1,343,0,30,26,668,
14/8/2021,9716,263786,42958,160120,348,5435,0,8679,
1/9/2021,11438,471620,4351,216505,804,11866,0,8679,
19/9/2021,10013,685417,0,0,233,16903,0,8679,
6/10/2021,4356,865742,0,0,119,20094,0,8679,
17/12/2021,15004,1496456,0,0,245,29055,0,0,
7/7/2020,0,375,0,24,0,0,4,347,
21/1/2021,2,1549,0,95,0,35,5,1411,
27/3/2021,0,2588,0,224,0,35,43,2308,
29/11/2020,2,1347,2,126,0,35,0,1179,
28/5/2021,80,6397,295,3526,1,47,42,2897,
5/12/2021,14017,1302341,0,0,199,26225,0,0,
6/2/2021,5,1983,8,480,0,35,3,1468,
23/9/2020,1,1075,1,38,0,35,34,993,
7/11/2021,7575,1199027,0,0,61,22521,0,8679,
18/4/2021,3,2786,3,219,0,35,0,2475,
19/1/2021,1,1543,1,100,0,35,0,1402,
18/3/2021,3,2572,3,320,0,35,0,2198,
15/9/2021,10523,644092,0,0,215,16005,0,8679,
12/12/2020,4,1398,4,119,0,35,0,1238,
10/1/2022,14596,1898827,0,0,206,34379,0,0,
20/6/2020,0,355,0,22,0,0,1,329,
19/4/2020,0,281,1,66,0,0,2,205,
7/10/2020,1,1105,1,37,0,35,0,1024,
4/4/2021,5,2633,2,191,0,35,0,2383,
15/5/2021,53,3869,290,1293,1,36,11,2668,
4/12/2020,0,1365,0,103,0,35,11,1220,
1/11/2021,5547,1116073,0,0,48,22123,0,8679,
4/10/2020,0,1099,0,0,0,35,0,1019,
23/7/2021,23421,80946,4845,65214,125,370,0,8679,
2/12/2020,7,1362,6,119,0,35,6,1201,
1/10/2021,6941,841343,0,0,377,19434,0,8679,
21/9/2020,0,1074,0,73,0,35,5,949,
11/6/2021,196,9999,98,5894,2,57,96,3923,
9/11/2020,2,1219,2,90,0,35,17,1087,
23/1/2021,0,1551,2,99,0,35,0,1411,
21/4/2020,0,281,0,52,0,0,2,218,
16/12/2020,0,1400,0,0,0,35,0,1248,
4/8/2021,7608,176265,5421,131091,256,2324,0,8679,
18/11/2021,10087,1100779,0,0,139,23463,0,0,
13/11/2021,8384,1054250,0,0,88,23006,0,0,
12/8/2020,19,890,15,460,3,17,4,405,
10/11/2021,7783,1221003,0,0,79,22753,0,8679,
22/4/2021,10,2818,12,242,0,35,0,2490,
6/7/2020,14,375,14,28,0,0,1,343,
28/9/2020,4,1084,3,37,0,35,0,1001,
12/6/2021,146,13633,201,6093,0,69,93,5583,
21/10/2021,3600,918443,0,0,71,21481,0,8679,
6/8/2020,34,752,29,345,2,10,11,394,
21/11/2020,1,1310,1,126,0,35,0,1142,
29/3/2020,5,122,0,0,0,0,4,25,
26/8/2020,5,1039,4,368,2,29,43,639,
6/5/2021,68,3092,60,410,0,35,0,2560,
22/6/2020,0,355,0,21,0,0,1,330,
20/5/2021,230,4809,108,1977,2,39,2,2689,
10/10/2020,2,1112,2,44,0,35,0,1025,
13/11/2020,3,1260,2,120,0,35,8,1101,
4/11/2020,4,1210,4,99,0,35,0,1070,
2/11/2021,5570,1121151,0,0,74,22197,0,8679,
1/6/2020,0,339,0,35,0,0,14,295,
4/12/2021,13705,1288322,0,0,200,26026,0,0,
21/7/2021,246,57768,5494,56942,0,245,0,8679,
24/10/2021,3848,929285,0,0,53,21666,0,8679,
8/12/2021,14347,1344523,0,0,230,26895,0,0,
19/9/2020,0,1074,0,78,0,35,1,944,
30/8/2021,14220,447652,4237,203769,315,11062,0,8679,
3/10/2020,0,1099,0,0,0,35,0,1019,
19/8/2021,10504,310873,4204,187416,380,7148,0,8679,
14/7/2021,1071,30465,2786,26120,27,132,222,8544,
27/11/2021,12761,1191284,0,0,147,24678,0,0,
19/8/2020,4,998,4,434,0,25,9,537,
7/1/2022,16106,1844910,0,0,223,33738,0,0,
26/8/2021,11575,391190,10838,199709,318,9665,0,8679,
1/11/2020,2,1181,0,0,0,35,1,1060,
25/10/2021,155449,1084626,0,0,65,21731,0,8679,
10/11/2020,11,1230,10,100,0,35,0,1087,
2/11/2020,12,1196,12,88,0,35,2,1066,
9/12/2020,4,1385,4,118,0,35,1,1225,
24/8/2021,10802,367526,7580,196246,348,9012,0,8679,
25/11/2020,5,1325,5,130,0,35,0,1153,
24/11/2020,2,1320,4,127,0,35,2,1153,
20/6/2021,495,13637,216,7729,0,64,0,5584,
28/9/2021,53672,818017,0,0,178,18751,0,8679,
14/8/2020,24,934,12,471,1,21,16,439,
28/1/2021,9,1563,96,179,0,35,0,1430,
30/11/2020,3,1350,3,129,0,35,0,1179,
1/5/2021,14,2944,8,285,0,35,33,2549,
6/11/2020,5,1216,3,104,0,35,0,1070,
24/12/2021,16064,1606974,0,0,234,30645,0,0,
25/12/2021,15466,1622477,0,0,237,30882,0,0,
24/3/2021,0,2578,0,261,0,35,19,2265,
15/1/2021,5,1539,4,121,0,35,11,1380,
9/2/2021,19,2071,20,560,0,35,2,1474,
21/7/2020,12,401,12,31,0,0,5,367,
27/8/2020,2,1041,4,367,1,30,5,643,
2/5/2021,20,2964,20,305,0,35,0,2549,
6/11/2021,7507,1147075,0,0,58,22460,0,8679,
20/12/2021,14624,1542743,0,0,221,29679,0,0,
24/12/2020,11,1427,0,0,0,35,0,1276,
18/2/2021,18,2349,13,702,0,35,25,1605,
14/9/2021,10497,633612,0,0,276,15790,0,8679,
16/11/2020,2,1287,2,121,0,35,21,1124,
28/7/2021,6549,119563,2068,94710,106,628,0,8679,
12/11/2020,1,1257,1,126,0,35,2,1093,
28/6/2021,643,16051,324,8958,0,76,200,6553,
30/7/2020,5,469,5,95,0,0,0,371,
23/4/2021,14,2832,7,249,0,35,0,2490,
17/3/2021,7,2569,7,319,0,35,40,2198,
7/8/2021,7324,199131,8199,140591,0,3013,0,8679,
26/12/2021,15140,1637654,0,0,207,31089,0,0,
24/2/2021,11,2414,0,583,0,35,73,1790,
25/4/2020,0,283,4,45,0,0,4,231,
new_case,0
new_death,0
new_recovered,0
new_active,0
new_case_blockade,0
new_case_community,0
new_case_isolation,0
new_case_screening,0
new_case_another,0
total_case,1898827
total_death,34379
total_active,0
total_recovered,0
compare_active_7_days_before,0
compare_case_7_days_before,112713
compare_death_7_days_before,1255
compare_recovered_7_days_before,0
active_/_100000,0
case_/_100000,96265
death_/_100000,1102
recovered_/_100000,0
percent_active_/_100000,0
percent_death_/_100000,0
percent_case_/_100000,70
percent_recovered_/_100000,0
percent_recovered_/_sum_case,0
