date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
20/9/2021,8869,694286,0,0,215,17118,0,8679,
14/2/2021,33,2230,33,658,0,35,3,1532,
2/6/2020,0,339,0,30,0,0,5,300,
27/6/2020,2,361,2,25,0,0,0,332,
16/2/2021,42,2313,36,702,0,35,27,1573,
2/2/2021,32,1884,41,392,0,35,0,1460,
27/12/2021,14804,1652463,0,0,222,31311,0,0,
19/5/2021,67,4579,169,1869,0,37,0,2687,
26/7/2020,3,425,3,55,0,0,0,367,
7/1/2021,4,1512,4,117,0,35,0,1353,
27/12/2020,1,1444,1,100,0,35,0,1303,
22/11/2021,10105,1150360,0,0,189,23937,0,0,
7/9/2020,0,1057,0,158,0,35,38,860,
27/7/2021,7901,113087,7706,93767,0,522,0,8679,
3/6/2021,250,8064,202,4751,0,49,0,3083,
13/12/2021,14898,1419145,0,0,239,28036,0,0,
17/7/2020,1,388,0,25,0,0,4,359,
10/1/2021,1,1517,1,114,0,35,0,1361,
21/5/2020,0,335,0,58,0,0,2,270,
8/6/2020,1,343,1,16,0,0,9,318,
16/4/2021,12,2774,12,232,0,35,30,2475,
29/3/2021,3,2596,3,232,0,35,0,2308,
23/10/2021,3336,925535,0,0,76,21613,0,8679,
30/9/2020,0,1101,1,46,0,35,3,1012,
2/4/2021,3,2622,3,183,0,35,24,2383,
14/4/2021,19,2735,14,221,0,35,0,2445,
3/6/2020,0,339,0,26,0,0,4,304,
23/5/2021,131,5218,90,2252,1,42,0,2721,
21/3/2020,1,68,0,0,0,0,0,17,
29/8/2021,12785,433432,11583,204796,344,10747,0,8679,
15/11/2020,25,1285,16,139,0,35,0,1103,
27/8/2021,17413,408601,3729,196601,386,10051,0,8679,
13/4/2021,9,2716,7,207,0,35,0,2445,
6/12/2021,13630,1311809,0,0,210,26435,0,0,
16/5/2021,307,4176,99,1392,0,36,0,2668,
21/8/2020,2,1014,2,438,0,25,3,549,
30/10/2020,0,1182,0,75,0,35,0,1063,
7/10/2021,4117,869762,0,0,120,20214,0,8679,
31/8/2021,12530,460182,9331,212817,0,11062,0,8679,
28/12/2020,10,1454,4,95,0,35,15,1318,
7/4/2021,11,2661,10,171,0,35,7,2429,
27/11/2020,8,1343,8,131,0,35,4,1170,
30/1/2021,108,1770,124,287,0,35,8,1456,
18/10/2020,7,1139,8,64,0,35,0,1032,
12/11/2021,8875,1046045,0,0,81,22918,0,0,
11/1/2022,0,1898827,0,0,0,34379,0,0,
27/4/2020,0,283,3,48,0,0,0,231,
26/11/2020,10,1335,10,127,0,35,13,1166,
20/5/2020,0,335,0,60,0,0,1,269,
12/1/2021,5,1523,5,120,0,35,0,1361,
8/4/2020,2,259,0,0,0,0,0,123,
15/6/2021,192,13634,284,6469,0,59,301,5584,
23/10/2020,0,1148,0,0,0,35,0,1047,
23/2/2021,9,2403,9,645,0,35,0,1717,
9/5/2021,104,3334,169,692,0,35,0,2602,
12/9/2021,11467,612182,0,0,260,15216,0,8679,
17/8/2021,9605,291592,6002,176987,331,6470,0,8679,
20/11/2020,1,1309,1,125,0,35,0,1142,
13/7/2021,2147,29394,2686,23391,0,105,56,8325,
30/8/2020,0,1045,0,310,0,32,18,700,
11/9/2020,1,1068,1,113,0,35,9,905,
4/1/2022,14794,1786114,0,0,219,33124,0,0,
1/4/2021,14,2619,14,205,0,35,0,2359,
31/3/2020,2,126,0,0,0,0,2,32,
7/8/2020,42,793,42,384,0,10,3,397,
8/6/2021,0,9179,160,5411,0,55,0,3679,
29/1/2021,97,1660,4,166,0,35,18,1448,
13/8/2021,9170,254070,3798,119840,275,5087,0,8679,
13/6/2021,297,13633,110,6104,1,59,171,5583,
6/8/2021,8307,191809,4775,132399,296,3013,0,8679,
23/7/2020,11,417,11,47,0,0,0,367,
24/9/2021,8388,735341,0,0,203,18033,0,8679,
10/9/2021,13260,588808,4187,223223,270,14692,0,8679,
14/4/2020,1,278,0,98,0,0,23,170,
29/9/2021,8662,826660,0,0,161,18912,0,8679,
6/9/2021,13410,536396,1770,223769,311,13383,0,8679,
12/8/2021,9653,244900,7263,166927,327,4812,0,8679,
11/12/2020,6,1394,5,115,0,35,13,1238,
10/4/2021,9,2694,9,201,0,35,0,2429,
24/6/2021,254,14124,336,8055,2,72,75,5797,
6/6/2020,1,340,1,22,0,0,0,309,
11/5/2020,0,301,0,39,0,0,8,258,
26/11/2021,12856,1225855,0,0,137,24531,0,0,
13/9/2020,0,1070,2,98,0,35,8,921,
22/10/2021,3960,922310,0,0,56,21537,0,8679,
20/4/2020,0,281,0,54,0,0,12,217,
19/2/2021,15,2364,0,695,0,35,22,1627,
30/9/2021,7921,834491,0,0,219,19131,0,8679,
8/11/2020,0,1212,0,0,0,35,0,1066,
26/4/2021,9,2854,5,242,0,35,0,2516,
9/10/2021,4463,878741,0,0,105,20438,0,8679,
20/11/2021,9330,1119499,0,0,107,23672,0,0,
11/9/2021,11937,600727,0,0,264,14956,0,8679,
8/9/2021,12622,563208,5038,222221,492,14191,0,8679,
11/11/2020,26,1256,29,127,0,35,4,1091,
13/10/2021,3427,891770,0,0,106,20865,0,8679,
25/8/2021,12092,379618,5393,188871,335,9347,0,8679,
3/11/2020,10,1206,11,95,0,35,4,1070,
11/4/2021,1,2695,1,202,0,35,0,2429,
20/10/2020,1,1146,1,56,0,35,0,1047,
15/2/2021,41,2271,16,668,0,35,14,1546,
18/4/2020,0,281,0,67,0,0,3,203,
20/2/2021,6,2370,6,701,0,35,0,1627,
14/3/2021,1,2556,1,409,0,35,0,2086,
13/5/2021,87,3710,83,936,0,35,21,2657,
9/9/2020,5,1067,5,131,0,35,22,895,
28/4/2021,8,2867,8,255,0,35,0,2516,
9/4/2021,15,2685,15,195,0,35,0,2429,
31/12/2020,9,1468,8,101,0,35,2,1325,
11/11/2021,8077,1037173,0,0,84,22837,0,0,
14/11/2020,0,1260,9,123,0,35,2,1103,
7/6/2021,238,9034,187,5293,0,52,53,3661,
5/9/2020,0,1057,0,206,0,35,19,812,
13/12/2020,2,1400,0,118,0,35,3,1241,
3/9/2020,0,1054,0,248,1,35,10,768,
20/7/2021,14084,57522,4691,51453,0,245,0,8679,
10/5/2021,127,3461,41,723,0,35,16,2618,
9/7/2020,0,375,0,22,0,0,2,349,
15/8/2020,21,955,10,480,2,23,10,449,
14/5/2021,106,3816,106,1010,0,35,0,2657,
17/4/2021,9,2783,7,216,0,35,0,2475,
3/9/2021,14921,499732,7269,232906,308,12444,0,8679,
24/11/2021,11591,1200809,0,0,124,24228,0,0,
13/1/2021,1,1524,3,117,0,35,8,1369,
19/11/2020,4,1308,4,124,0,35,18,1142,
11/7/2020,1,376,1,20,0,0,0,352,
8/3/2021,12,2526,12,546,0,35,0,1920,
18/6/2020,7,353,7,17,0,0,0,327,
14/11/2021,8094,1062160,0,0,64,23070,0,0,
6/4/2020,4,249,0,0,0,0,5,96,
16/10/2020,0,1129,0,54,0,35,1,1032,
25/4/2021,10,2845,13,237,0,35,0,2516,
2/4/2020,109,237,0,0,0,0,38,77,
16/6/2020,1,346,1,10,0,0,2,327,
25/7/2020,4,422,4,35,0,0,0,367,
27/7/2020,11,436,11,66,0,0,0,367,
17/12/2020,2,1410,2,106,0,35,11,1263,
17/5/2020,2,333,2,60,0,0,0,266,
22/11/2020,0,1310,1,127,0,35,0,1142,
19/10/2021,3013,911440,0,0,75,21338,0,8679,
22/6/2021,146,13600,0,0,0,69,93,5553,
26/3/2021,7,2588,7,268,0,35,0,2265,
5/9/2021,13137,522986,7115,227064,281,13072,0,8679,
16/9/2021,10473,654559,0,0,234,16239,0,8679,
11/8/2020,19,871,18,451,1,16,0,401,
6/9/2020,0,1057,0,196,0,35,10,822,
23/3/2020,7,87,0,0,0,0,0,17,
10/7/2020,0,375,0,19,0,0,3,352,
18/8/2020,13,994,4,437,2,26,59,528,
30/12/2021,16827,1700974,0,0,289,32053,0,0,
13/10/2020,3,1118,3,48,0,35,1,1027,
23/9/2021,9464,726954,0,0,236,17830,0,8679,
30/5/2020,1,339,1,49,0,0,0,281,
19/12/2020,1,1414,1,104,0,35,3,1269,
17/4/2020,0,281,0,70,0,0,22,200,
5/2/2021,16,1978,19,472,0,35,0,1465,
12/2/2021,2,2144,2,573,0,35,1,1529,
17/10/2021,3148,905532,0,0,63,21190,0,8679,
26/10/2020,1,1174,1,69,0,35,4,1062,
6/7/2021,15,19965,1036,11634,7,97,0,8051,
3/11/2021,7049,1127797,0,0,78,22275,0,8679,
31/3/2021,9,2605,9,191,0,35,0,2359,
1/10/2020,1,1102,1,38,0,35,8,1020,
8/12/2020,10,1381,10,115,0,35,0,1224,
24/3/2020,8,95,0,0,0,0,0,17,
8/10/2020,1,1106,1,38,0,35,0,1024,
27/3/2020,8,112,0,0,0,0,3,20,
7/11/2020,1,1212,0,0,0,35,0,1066,
22/3/2020,12,80,0,0,0,0,0,17,
1/2/2021,33,1852,33,352,0,35,3,1460,
17/8/2020,14,981,8,485,0,24,11,469,
11/10/2021,3585,885573,0,0,115,20666,0,8679,
26/5/2021,312,6087,154,3050,1,45,59,2853,
5/11/2020,1,1211,3,102,0,35,0,1070,
12/10/2021,2953,888438,0,0,93,20759,0,8679,
8/8/2021,9670,208801,2708,138165,463,3396,0,8679,
1/7/2021,448,17321,452,9891,0,81,406,7278,
24/7/2020,1,418,1,48,0,0,0,367,
8/2/2021,49,2052,49,541,0,35,0,1472,
18/12/2020,3,1413,3,106,0,35,3,1266,
22/7/2020,5,406,5,36,0,0,0,367,
15/4/2021,23,2760,25,246,0,35,0,2445,
15/4/2020,1,278,1,98,0,0,1,171,
21/11/2021,9689,1129158,0,0,76,23748,0,0,
27/6/2021,126,15408,342,8827,2,76,182,6353,
5/6/2020,0,339,0,21,0,0,5,309,
3/3/2021,10,2484,10,545,0,35,0,1897,
29/9/2020,17,1101,17,47,0,35,8,1009,
16/3/2021,3,2562,0,342,0,35,43,2158,
11/3/2021,4,2535,2,426,0,35,44,2048,
24/7/2021,9216,90162,8045,73258,0,370,0,8679,
10/12/2020,4,1388,4,122,0,35,0,1225,
22/2/2021,9,2394,9,636,0,35,0,1717,
18/10/2021,3116,908530,0,0,73,21263,0,8679,
1/4/2020,2,128,0,0,0,0,7,39,
3/12/2021,13469,1274612,0,0,198,25826,0,0,
28/2/2021,16,2450,4,533,0,35,32,1875,
22/9/2020,0,1074,0,63,0,35,10,959,
30/4/2020,0,283,2,51,0,0,1,232,
16/6/2021,633,13635,379,6847,2,61,52,5584,
18/9/2020,2,1074,2,82,0,35,1,943,
15/11/2021,8516,1070695,0,0,101,23171,0,0,
25/10/2020,8,1173,11,78,0,35,6,1058,
27/10/2021,4362,1092208,0,0,54,21849,0,8679,
28/8/2021,12047,420647,2365,193536,352,10403,0,8679,
9/7/2021,1,21572,2193,15019,0,104,0,8051,
29/8/2020,2,1045,1,328,2,32,14,682,
27/4/2021,5,2859,5,247,0,35,0,2516,
9/8/2021,9322,218122,9175,147340,360,3756,0,8679,
20/9/2020,0,1071,0,0,0,35,0,941,
4/7/2021,1,18402,1182,10774,2,86,176,7849,
25/5/2020,1,337,1,54,0,0,5,274,
18/1/2021,2,1542,1,99,0,35,22,1402,
16/11/2021,9545,1080849,0,0,86,23257,0,0,
27/2/2021,6,2434,5,549,0,35,5,1844,
30/3/2020,2,124,0,0,0,0,5,30,
24/5/2020,1,336,1,58,0,0,0,270,
4/9/2021,10118,509850,1049,226806,347,12791,0,8679,
30/4/2021,16,2930,8,299,0,35,0,2516,
13/2/2021,53,2197,53,626,0,35,0,1529,
15/12/2021,15181,1449256,0,0,283,28569,0,0,
